...1,page,page_id,post_id,post_text,comment_id,text,tags,sentimiento
1,facebook,100064249467077,7b58d0034b7a086151d92e131879c05d,En El Salvador.,1270345430302418,Excelente,"el salvador, politica, impuestos, enojo, educación",Positivo
2,facebook,100064249467077,7b58d0034b7a086151d92e131879c05d,En El Salvador.,843820224081620,Se cosechan lo que sembraron nuestros antepasados sabios... Muchas gracias Universidades Públicas. 🙏👌⚘️ Felicitaciones muchachos( as).,"el salvador, impuestos, educación, gobierno.","

Positivo"
3,facebook,100064249467077,7b58d0034b7a086151d92e131879c05d,En El Salvador.,322618940267327,Maravilloso. Felicitaciones,"en el salvador, política, impuestos, enojo, educación.", Positivo
4,facebook,100064249467077,7b58d0034b7a086151d92e131879c05d,En El Salvador.,10014605838614771,Excelente,"
 el salvador, educación, impuestos, economía, política, reformas, leyes.", positivo
5,facebook,100064249467077,c2a5de6067bafc14fa24b5c1d0dcc41a,Cada vez más el crimen organizado recluta menores para venta de drogas.,954781782256954,"los que somos nietos de politicos del 48 del PLN y PUSC hacemos drogas pero por gusto y en nuestras propias mansiones, no trabajamos, solo producimos lo que consumimos y a veces vendemos a otros hijos de otros politicos de antaño","crimen organizado, drogas, minoridad, sociedad, venta ilegal.

crimen organizado, drogas, minoridad, venta ilegal",Negativo
6,facebook,100064249467077,c2a5de6067bafc14fa24b5c1d0dcc41a,Cada vez más el crimen organizado recluta menores para venta de drogas.,582928787192433,SI CORRECTO CRCACA LOS MENORES VIVEN EN VALLE DEL SOL SANTANA..  HIJOS DE TODOS LOS PIPIS DE TICOLANDIA ...   SU NOTICIA ES CORRECTA CANALLAS...,"crimen organizado, drogas, menores, venta.

crimen organizado, drogas, menores, venta, venta ilegal, delincuencia, protección infantil.", Neutral
7,facebook,100064249467077,52485f184c39477e45d63c6c3eb3a48e,La joven insta a más chicas a unirse a las Ciencias.,3591291917784259,Adelante chicas tienen un mundo por conquistar y el límite es el cielo.,"ciencias, joven, chicas, educación", positivo
8,facebook,100064249467077,52485f184c39477e45d63c6c3eb3a48e,La joven insta a más chicas a unirse a las Ciencias.,312613144787498,El límite está más allá del cielo.,"ciencias, mujeres, joven, educación.","

Neutro."
9,facebook,100064249467077,52485f184c39477e45d63c6c3eb3a48e,La joven insta a más chicas a unirse a las Ciencias.,3528997447366538,Excelente,"ciencias, jóvenes, mujeres, educación.", Positivo
10,facebook,100064249467077,d53bf9b45235f606ac395df2adbf8b43,Plan piloto podría arrancar con 5 sectores ya identificados.,6585052061615129,"Entonces hay que pedirles permiso a los mafiosos autobuseros, aún siendo transporte público. Pero claro lo importante es que los financistas de este gobierno no pierdan, por algo cancelaron lo del tren eléctrico porque no les sirve","plan piloto, 5 sectores, identificación, política, impuestos.", Negativo
11,facebook,100064249467077,a7e6b0ac409f372fb2a2f85fb323bd47,"En diciembre viajarán al Space Center, en Houston.",3463275763988464,Mari Calderon,"space center, houston, viaje, diciembre.", neutro
12,facebook,100064249467077,a7e6b0ac409f372fb2a2f85fb323bd47,"En diciembre viajarán al Space Center, en Houston.",630180435908607,Mireya Blackwell,"
space center, houston, viaje, diciembre", positivo
13,facebook,100064249467077,e14a09813d8acbe49972dbb98365ab39,El reconocido científico falleció a los 93 años.,836235178176748,"93 años, pareciera una edad bonita para morir.","científico, fallecimiento, 93 años",Neutro
14,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1016892752845460,"Cualquier equipo que entre a semifinal o final, de repente Sporting, de repente Cartago...","deportes, manudos, invictos, competencias.

deportes, manudos, invictos, competencias.", Neutro
15,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1057248525449362,Ya sabemos el final de esta triste historia 🤣🤣🤣🤣,"deportes, invictos, manudos, competencias","

Positivo"
16,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1455221575276402,La Liga es el equipo que sabe jugar... que sabe jugar con los sentimientos de su afición. Solo queda esperar que este campeonato sea diferente. 🥺,"deportes, manudos, partidos invictos, competiciones.","

Neutro"
17,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,6787212734671497,"Voy a cruzar los dedos, para que ese invicto se mantenga durante un largo tiempo;  porque como ya sabemos, nuestros equipos no son constantes: un dia si, otro no.","deportes, manudos, invictos, competencias", Neutral
18,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1568614893911290,"En este campeonato hemos visto equipos invictos, líderes generales , récord de puntos perdiendo en estancias finales , cual es la novedad?","deportes, los manudos, invictos, competencias","

Neutro"
19,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,833290765041490,Ellos son su propio enemigo,"deportes, competiciones, invictos",Negativo
20,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,746975807189557,Cualquiera en semifinal o final. Incluido Cartago!,"deportes, manudos, partidos, invictos, competiciones.", Neutro
21,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1062032831828149,El partido de la final que la mayoría del tiempo pierden,"deporte, los manudos, partidos invictos, competencias.",Negativo
22,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,665230268883512,Ah pero en las finales... Hasta cartaguito se las aplicó 😁😁😁,"deportes, manudos, invictos, competiciones", positivo
23,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,337506225385800,La semifinal contra Heredia o la final contra sapirssa ahí está el muro,"deportes, los manudos, partidos invictos, competencias", Positivo
24,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1328907317995751,Hablando de todo un poco ...Yo estaba con la selección...como más de una misinga con su liga.....me ilusioné con ganar un partidillo   y tome jeje me aterrizaron de un solo bombazo...🤣🤣 q nivel de masoquismo el de las gatas🤣🤣 yo no podría....,"deportes, manudos, partidos invictos, competencias.", Negativo
25,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,1678197319273444,Gracias a dios los arbitros,"deportes, invictos, manudos, competencias.

deportes, invictos, manudos, competencias.", positivo
26,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,271625385670061,Es el mejor en la actualidad,"deportes, invictos, partidos, manudos, competiciones.", Positivo
27,facebook,100064249467077,4a16d5cb823c0b7164b5df462d378628,Deportes: Los manudos suman 13 partidos invictos en todas las competiciones.,846319156861242,La final 😅😂🤣,"deportes, manudos, partidos, invictos, competiciones.", neutro
